biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
P01008	P01008	SERPINC1	C	99.14	canonical	  0.999	  0.000	1812876	8928.93	707									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1 \VariantSimple=(17|S)(23|P)(30|E)(32|R)(39|N)(52|T)(53|F)(56|C)(73|L)(79|C)(79|H)(79|S)(87|87|-)(89|C)(90|L)(95|C)(95|S)(98|P)(108|109|-)(112|S	Homo sapiens
P02753	P02753	RBP4	C	91.04	canonical	  0.999	  0.000	669718	8906.09	274									P02753	1332	19				coreProteome GENCODE_v48 SP sp|P02753|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3 \VariantSimple=(59|N)(73|T)(75|T)(93|D)	Homo sapiens
P02656	P02656	APOC3	C	90.91	canonical	  0.999	  0.000	390229	8648.95	183									P02656	1319	4				coreProteome GENCODE_v48 SP sp|P02656|APOC3_HUMAN Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1 \VariantSimple=(78|E)(94|A)	Homo sapiens
P06727	P06727	APOA4	C	99.75	canonical	  0.999	  0.000	1422938	7569.04	728									P06727	1438	307				coreProteome GENCODE_v48 SP sp|P06727|APOA4_HUMAN Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4 \VariantSimple=(13|M)(33|N)(44|K)(66|V)(74|S)(77|H)(147|N)(161|S)(178|L)(185|K)(187|E)(250|K)(264|Q)(279|K)(305|C)(307|L)(367|S)(380|H)(381|QE	Homo sapiens
P0C0L5	P0C0L5	C4B	C	99.54	canonical	  0.999	  0.000	4985493	7449.26	2881									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P0C0L5|CO4B_HUMAN Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2 \VariantSimple=(347|Y)(478|L)(907|A)(1073|D)(1176|N)(1207|V)(1210|L)(1317|F)	Homo sapiens
P0C0L4	P0C0L4	C4A	C	99.54	canonical	  0.999	  0.000	4976243	7435.44	2958									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P0C0L4|CO4A_HUMAN Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2 \VariantSimple=(141|V)(347|Y)(418|A)(477|W)(549|P)(726|L)(727|N)(907|T)(1073|G)(1176|S)(1201|S)(1207|A)(1210|R)(1286|A)	Homo sapiens
P02654	P02654	APOC1	C	84.34	canonical	  0.999	  0.000	210038	6982.85	186									P02654	1317	7				coreProteome GENCODE_v48 SP sp|P02654|APOC1_HUMAN Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1 \VariantSimple=(16|M)(71|S)	Homo sapiens
P68871	P68871	HBB	C	100	canonical	  0.999	  0.000	567261	6857.81	432									P68871	2707	223				coreProteome GENCODE_v48 SP sp|P68871|HBB_HUMAN Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 \VariantSimple=(2|A)(3|L)(3|Q)(3|R)(3|Y)(6|R)(7|A)(7|K)(7|Q)(7|V)(8|G)(8|K)(9|E)(9|Q)(9|T)(10|C)(11|D)(11|V)(12|D)(12|I)(14|D)(15|P)(15|R)(16|	Homo sapiens
P00751	P00751	CFB	C	100	canonical	  0.999	  0.000	1945087	6806.92	1372									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2 \VariantSimple=(9|H)(28|Q)(28|R)(32|Q)(32|W)(166|P)(203|Q)(242|L)(252|S)(286|L)(323|E)(323|Q)(458|I)(533|R)(565|E)(651|E)(736|S)	Homo sapiens
P19827	P19827	ITIH1	C	95.28	canonical	  0.999	  0.000	1989237	6782.92	1083									Q14624	3109	7018				coreProteome GENCODE_v48 SP sp|P19827|ITIH1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3 \VariantSimple=(263|T)(585|V)(595|R)(695|C)(844|E)	Homo sapiens
P00734	P00734	F2	C	92.28	canonical	  0.999	  0.000	1575970	6549.27	1034									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2 \VariantSimple=(72|G)(165|M)(200|K)(314|C)(314|H)(380|T)(386|T)(425|C)(431|H)(461|W)(509|A)(532|Q)(601|V)	Homo sapiens
P08603	P08603	CFH	C	99.35	canonical	  0.999	  0.000	3224081	6496.16	1786									P08603	1512	148				coreProteome GENCODE_v48 SP sp|P08603|CFAH_HUMAN Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4 \VariantSimple=(62|I)(78|G)(127|L)(224|224|-)(325|Y)(400|K)(402|H)(431|S)(493|R)(536|R)(551|T)(567|G)(609|I)(630|W)(673|S)(673|Y)(850|K)(890|I)(8	Homo sapiens
P10909	P10909	CLU	C	98.22	canonical	  0.999	  0.000	1012794	6413.52	556									P10909	1599	62				coreProteome GENCODE_v48 SP sp|P10909|CLUS_HUMAN Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1 \VariantSimple=(317|H)(328|N)(396|L)	Homo sapiens
Q14624	Q14624	ITIH4	C	98.71	canonical	  0.999	  0.000	2280752	6318.76	1386									Q14624	3109	7018				coreProteome GENCODE_v48 SP sp|Q14624|ITIH4_HUMAN Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4 \VariantSimple=(85|N)(86|N)(669|L)(698|T)(714|I)(791|P)	Homo sapiens
B9A064	B9A064	IGLL5	C	58.41	canonical	  0.999	  0.000	554203	6141.61	258									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=1 SV=2 	Homo sapiens
P05155	P05155	SERPING1	C	90.6	canonical	  0.999	  0.000	1109368	5901.07	564									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P05155|IC1_HUMAN Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2 \VariantSimple=(11|R)(39|E)(56|A)(84|138|-)(118|A)(130|Y)(154|C)(170|F)(184|R)(230|P)(232|K)(265|R)(272|272|-)(273|273|-)(274|V)(299	Homo sapiens
P04004	P04004	VTN	C	96.44	canonical	  0.999	  0.000	923165	5845.95	772									P04004	1355	27				coreProteome GENCODE_v48 SP sp|P04004|VTNC_HUMAN Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1 \VariantSimple=(122|S)(268|Q)(400|M)	Homo sapiens
P00747	P00747	PLG	C	100	canonical	  0.999	  0.000	1921641	5555.32	1360									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2 \VariantSimple=(38|E)(46|R)(57|K)(89|K)(133|Q)(147|P)(235|H)(261|H)(330|E)(374|F)(408|W)(453|I)(472|N)(494|V)(523|W)(532|H)(591|P)(620|T)(676|D)(728|E)(7	Homo sapiens
P02655	P02655	APOC2	C	94.06	canonical	  0.999	  0.000	204673	5443.59	146									P02655	1318	38				coreProteome GENCODE_v48 SP sp|P02655|APOC2_HUMAN Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1 \VariantSimple=(41|T)(48|R)(60|K)(77|Q)	Homo sapiens
P0DJI8	P0DJI8	SAA1	C	100	canonical	  0.999	  0.000	281798	5353.46	186									P35542	2121	18				coreProteome GENCODE_v48 SP sp|P0DJI8|SAA1_HUMAN Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=2 \VariantSimple=(15|S)(70|V)(75|A)(77|S)(78|N)(86|L)(90|D)	Homo sapiens
P01019	P01019	AGT	C	99.79	canonical	  0.999	  0.000	872531	5274.16	716									P01019	1278	21				coreProteome GENCODE_v48 SP sp|P01019|ANGT_HUMAN Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=4 \VariantSimple=(34|F)(89|K)(105|C)(128|M)(198|M)(233|I)(235|R)(259|I)(259|T)(272|C)(326|S)(366|Q)(383|M)	Homo sapiens
P02760	P02760	AMBP	C	94.32	canonical	  0.999	  0.000	662773	5184.55	436									P02760	1333	6				coreProteome GENCODE_v48 SP sp|P02760|AMBP_HUMAN Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1 	Homo sapiens
P04196	P04196	HRG	C	100	canonical	  0.999	  0.000	1009804	5164.86	699									P04196	1372	21				coreProteome GENCODE_v48 SP sp|P04196|HRG_HUMAN Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1 \VariantSimple=(79|L)(103|E)(118|G)(180|T)(204|S)(241|R)(340|R)(436|R)(448|C)(493|I)	Homo sapiens
P0DJI9	P0DJI9	SAA2	C	100	canonical	  0.999	  0.000	270514	5139.10	165									P35542	2121	18				coreProteome GENCODE_v48 SP sp|P0DJI9|SAA2_HUMAN Serum amyloid A-2 protein OS=Homo sapiens OX=9606 GN=SAA2 PE=1 SV=1 \VariantSimple=(89|H)	Homo sapiens
P01042	P01042	KNG1	C	96.89	canonical	  0.999	  0.000	1364909	4905.65	977									P01042	1283	15				coreProteome GENCODE_v48 SP sp|P01042|KNG1_HUMAN Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2 \VariantSimple=(163|S)(178|T)(197|M)(212|P)(378|380|-)(379|K)(430|E)(574|A)(581|T)(642|A)	Homo sapiens
P04003	P04003	C4BPA	C	95.48	canonical	  0.999	  0.000	1100157	4433.39	761									P04003	1354	7				coreProteome GENCODE_v48 SP sp|P04003|C4BPA_HUMAN C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2 \VariantSimple=(4|Q)(60|V)(240|H)(300|T)(357|H)(473|L)	Homo sapiens
P19823	P19823	ITIH2	C	88.79	canonical	  0.999	  0.000	1734439	4351.89	928									Q14624	3109	7018				coreProteome GENCODE_v48 SP sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2 \VariantSimple=(263|S)(569|V)(674|A)	Homo sapiens
P08697	P08697	SERPINF2	C	98.57	canonical	  0.999	  0.000	740534	4281.66	715									P08697	1515	16				coreProteome GENCODE_v48 SP sp|P08697|A2AP_HUMAN Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3 \VariantSimple=(2|V)(27|V)(33|W)(98|G)(176|176|-)(411|M)(434|K)(451|S)	Homo sapiens
P06396	P06396	GSN	C	96.68	canonical	  0.999	  0.000	1149095	4129.99	1063									P06396	1433	115				coreProteome GENCODE_v48 SP sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1 \VariantSimple=(22|L)(129|T)(201|I)(214|N)(214|Y)(231|D)(611|N)(668|L)	Homo sapiens
P02042	P02042	HBD	C	100	canonical	  0.999	  0.000	333173	4027.84	215									P68871	2707	223				coreProteome GENCODE_v48 SP sp|P02042|HBD_HUMAN Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 \VariantSimple=(2|A)(3|L)(3|R)(5|I)(5|S)(11|D)(12|G)(13|K)(17|R)(21|E)(23|E)(25|D)(26|D)(27|D)(28|S)(37|H)(44|G)(44|K)(48|V)(52|R)(58|K)(70|R	Homo sapiens
P25311	P25311	AZGP1	C	98.66	canonical	  0.999	  0.000	564541	3951.27	342									P25311	1936	17				coreProteome GENCODE_v48 SP sp|P25311|ZA2G_HUMAN Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2 	Homo sapiens
P04114	P04114	APOB	C	99.25	canonical	  0.999	  0.000	7463517	3788.24	5049									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=3 \(12|14|-)(98|I)(103|H)(145|S)(194|M)(251|T)(273|N)(408|T)(490|W)(554|L)(618|V)(730|I)(733|I)(741|N)(877|L)(952|L)(955|S)(1086|S)(1113|H)(1128|	Homo sapiens
P02649	P02649	APOE	C	99.68	canonical	  0.999	  0.000	624601	3775.50	360									P02649	1315	45				coreProteome GENCODE_v48 SP sp|P02649|APOE_HUMAN Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1 \VariantSimple=(21|K)(31|K)(43|C)(46|P)(60|A)(64|H)(99|K)(102|R)(117|T)(124|V)(130|R)(145|D)(145|GEVQAMLG)(152|Q)(154|C)(154|S)(160|C)(163|C)(163|H	Homo sapiens
P35542	P35542	SAA4	C	94.62	canonical	  0.999	  0.000	192657	3660.01	133									P35542	2121	18				coreProteome GENCODE_v48 SP sp|P35542|SAA4_HUMAN Serum amyloid A-4 protein OS=Homo sapiens OX=9606 GN=SAA4 PE=1 SV=2 \VariantSimple=(89|Y)	Homo sapiens
P02748	P02748	C9	C	97.32	canonical	  0.999	  0.000	745977	3542.93	567									P02748	1328	58				coreProteome GENCODE_v48 SP sp|P02748|CO9_HUMAN Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2 \VariantSimple=(5|W)(119|G)(127|Y)(167|S)(203|V)(279|S)(427|T)	Homo sapiens
Q03591	Q03591	CFHR1	C	99.7	canonical	  0.999	  0.000	447666	3501.87	383									P08603	1512	148				coreProteome GENCODE_v48 SP sp|Q03591|FHR1_HUMAN Complement factor H-related protein 1 OS=Homo sapiens OX=9606 GN=CFHR1 PE=1 SV=2 \VariantSimple=(157|Y)(159|V)(175|Q)(296|V)	Homo sapiens
P05546	P05546	SERPIND1	C	95.39	canonical	  0.999	  0.000	718046	3410.27	603									P01009	1277	289				coreProteome GENCODE_v48 SP sp|P05546|HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3 \VariantSimple=(7|T)(60|P)(87|N)(129|V)(208|H)(237|R)(442|M)(447|K)(462|L)	Homo sapiens
P69892	P69892	HBG2	C	100	canonical	  0.999	  0.000	281029	3397.45	178									P68871	2707	223				coreProteome GENCODE_v48 SP sp|P69892|HBG2_HUMAN Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 \VariantSimple=(2|C)(6|G)(8|N)(9|E)(9|Q)(13|R)(16|R)(17|R)(18|N)(20|K)(21|A)(22|K)(22|Q)(23|G)(23|V)(26|E)(27|K)(35|I)(39|P)(41|G)(41|K)(	Homo sapiens
P69891	P69891	HBG1	C	100	canonical	  0.999	  0.000	279416	3377.95	178									P68871	2707	223				coreProteome GENCODE_v48 SP sp|P69891|HBG1_HUMAN Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=3 \VariantSimple=(3|Q)(6|K)(7|G)(7|Q)(13|R)(23|G)(26|R)(37|R)(38|G)(40|R)(41|K)(44|N)(54|D)(62|E)(73|R)(74|H)(74|N)(76|I)(80|N)(81|N)(81|Y)	Homo sapiens
P27169	P27169	PON1	C	99.72	canonical	  0.999	  0.000	392379	3069.39	347									P27169	1970	15				coreProteome GENCODE_v48 SP sp|P27169|PON1_HUMAN Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3 \VariantSimple=(55|M)(102|V)(160|G)(192|R)	Homo sapiens
P09871	P09871	C1S	C	99.27	canonical	  0.999	  0.000	677645	2906.94	714									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P09871|C1S_HUMAN Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1 \VariantSimple=(119|H)(294|R)(316|316|-)(327|L)(383|H)	Homo sapiens
P02746	P02746	C1QB	C	71.54	canonical	  0.999	  0.000	283125	2896.21	166									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P02746|C1QB_HUMAN Complement C1q subcomponent subunit B OS=Homo sapiens OX=9606 GN=C1QB PE=1 SV=3 \VariantSimple=(42|D)(123|T)	Homo sapiens
P02750	P02750	LRG1	C	91.93	canonical	  0.999	  0.000	390612	2733.93	369									P02750	1330	4				coreProteome GENCODE_v48 SP sp|P02750|A2GL_HUMAN Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2 \VariantSimple=(64|S)(133|S)	Homo sapiens
Q96PD5	Q96PD5	PGLYRP2	C	96.18	canonical	  0.999	  0.000	533832	2730.40	600									Q96PD5	4335	58				coreProteome GENCODE_v48 SP sp|Q96PD5|PGRP2_HUMAN N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1 \VariantSimple=(46|A)(99|Q)(257|N)(270|K)(394|Q)(476|W)	Homo sapiens
P02743	P02743	APCS	C	92.83	canonical	  0.999	  0.000	218381	2640.08	208									Q4LDE5	3332	32				coreProteome GENCODE_v48 SP sp|P02743|SAMP_HUMAN Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2 \VariantSimple=(141|S)(155|G)(158|G)	Homo sapiens
